                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5817,                 3.4376,                 3.7222,                0.02806,                0.04228,                0.01113,                 0.0025,                 3.2535,                 3.5586,                 3.4412,               0.070032,              0.0033298,              0.0033298
                      2,                 3.2397,                  3.236,                 3.3168,                0.07673,                0.09251,                0.03058,                0.00841,                 3.0131,                 3.6041,                 3.1483,                0.04001,              0.0066411,              0.0066411
                      3,                 2.9049,                 3.1502,                 3.0202,                0.12448,                 0.0853,                0.03987,                0.01113,                 2.7879,                 3.0688,                 2.9489,              0.0099662,              0.0099304,              0.0099304
                      4,                 2.5837,                 2.9914,                 2.7321,                 0.1454,                0.10768,                0.05804,                0.01675,                 2.5821,                 2.9821,                 2.7369,               0.009901,               0.009901,               0.009901
                      5,                 2.4003,                 2.8419,                  2.538,                0.19618,                0.15071,                0.08454,                0.02791,                 2.4182,                 2.8065,                 2.6077,               0.009868,               0.009868,               0.009868
                      6,                 2.2713,                 2.6963,                 2.4114,                0.19929,                0.17931,                0.11508,                0.04245,                  2.331,                 2.8196,                 2.4561,               0.009835,               0.009835,               0.009835
                      7,                 2.1731,                 2.6021,                 2.3199,                0.29296,                0.21363,                0.16561,                0.06233,                 2.2461,                  2.512,                 2.3856,               0.009802,               0.009802,               0.009802
                      8,                 2.1242,                 2.4941,                 2.2326,                0.33655,                0.22283,                0.19228,                0.07757,                  2.201,                 2.4291,                 2.3378,               0.009769,               0.009769,               0.009769
                      9,                 2.0863,                 2.4529,                 2.1893,                0.36094,                0.24223,                0.21957,                0.08754,                 2.1612,                  2.351,                 2.2944,               0.009736,               0.009736,               0.009736
                     10,                 2.0244,                 2.3877,                 2.1515,                0.37507,                 0.2618,                0.23975,                0.10057,                 2.0671,                  2.325,                 2.2326,               0.009703,               0.009703,               0.009703
                     11,                 1.9682,                 2.3619,                 2.1068,                 0.3544,                0.26809,                0.23761,                0.09994,                  2.055,                 2.2901,                 2.1958,                0.00967,                0.00967,                0.00967
                     12,                 1.9459,                 2.3312,                 2.0877,                0.40155,                0.26511,                0.25051,                0.10836,                 2.0113,                  2.253,                 2.1377,               0.009637,               0.009637,               0.009637
                     13,                 1.9088,                 2.2718,                  2.049,                0.39434,                0.30042,                 0.2838,                0.11854,                 2.0041,                  2.206,                 2.1292,               0.009604,               0.009604,               0.009604
                     14,                 1.9034,                 2.2437,                  2.028,                0.45896,                0.29421,                0.30451,                0.13456,                 1.9873,                 2.1496,                 2.1369,               0.009571,               0.009571,               0.009571
                     15,                 1.8643,                  2.188,                 2.0102,                0.48806,                0.30888,                0.31686,                0.14082,                 1.9701,                 2.1193,                 2.1182,               0.009538,               0.009538,               0.009538
                     16,                 1.8496,                 2.1605,                 1.9827,                 0.4511,                0.32753,                0.32747,                0.15016,                 1.8975,                 2.0577,                 2.0455,               0.009505,               0.009505,               0.009505
                     17,                 1.8356,                 2.1239,                 1.9759,                0.47995,                0.31957,                0.34326,                0.16067,                  1.891,                 2.0338,                 2.0214,               0.009472,               0.009472,               0.009472
                     18,                 1.8071,                 2.1107,                 1.9592,                0.52083,                  0.334,                0.36366,                0.17272,                 1.8488,                 1.9896,                 1.9997,               0.009439,               0.009439,               0.009439
                     19,                 1.7848,                 2.0894,                 1.9337,                0.50763,                0.32131,                0.35016,                0.16771,                 1.8876,                 2.0318,                  2.024,               0.009406,               0.009406,               0.009406
                     20,                 1.7898,                 2.0522,                 1.9239,                0.51747,                0.33748,                0.36818,                0.17535,                 1.8348,                 1.9482,                 1.9981,               0.009373,               0.009373,               0.009373
                     21,                 1.7554,                 2.0158,                 1.9022,                 0.5663,                0.33748,                0.38474,                0.18676,                 1.8351,                 1.9401,                 1.9709,                0.00934,                0.00934,                0.00934
                     22,                 1.7569,                  2.018,                 1.9052,                0.53447,                0.34862,                0.38271,                0.18749,                 1.8434,                 1.9025,                 1.9714,               0.009307,               0.009307,               0.009307
                     23,                 1.7535,                 2.0102,                 1.8872,                0.51959,                0.36434,                0.38867,                0.19211,                 1.7748,                 1.9225,                 1.9133,               0.009274,               0.009274,               0.009274
                     24,                 1.7167,                 1.9678,                 1.8693,                0.53352,                0.36066,                0.40109,                0.19991,                 1.7825,                 1.8851,                  1.931,               0.009241,               0.009241,               0.009241
                     25,                 1.7261,                 1.9746,                 1.8788,                0.54333,                0.37873,                 0.4108,                0.20473,                 1.7722,                 1.8347,                  1.917,               0.009208,               0.009208,               0.009208
                     26,                 1.7047,                 1.9417,                 1.8623,                0.56752,                0.36832,                0.41259,                0.20936,                 1.7543,                 1.8246,                 1.8963,               0.009175,               0.009175,               0.009175
                     27,                 1.6943,                 1.9072,                 1.8364,                0.54467,                0.38274,                0.41778,                0.21327,                 1.7448,                 1.8213,                 1.8808,               0.009142,               0.009142,               0.009142
                     28,                 1.6852,                 1.8976,                  1.838,                0.57022,                0.39617,                0.43255,                0.21872,                 1.7333,                 1.7898,                 1.8714,               0.009109,               0.009109,               0.009109
                     29,                 1.6737,                   1.88,                 1.8284,                   0.57,                0.37702,                 0.4273,                0.21492,                 1.7521,                   1.81,                 1.8781,               0.009076,               0.009076,               0.009076
                     30,                 1.6799,                 1.8757,                 1.8155,                0.56378,                0.37677,                0.42962,                0.22127,                 1.7163,                 1.7769,                 1.8658,               0.009043,               0.009043,               0.009043
                     31,                 1.6417,                 1.8592,                 1.8044,                0.58338,                0.39866,                0.44749,                0.23537,                 1.6851,                  1.749,                 1.8305,                0.00901,                0.00901,                0.00901
                     32,                 1.6428,                 1.8455,                  1.803,                0.56693,                0.39194,                0.44305,                0.23076,                 1.6987,                  1.727,                 1.8354,               0.008977,               0.008977,               0.008977
                     33,                 1.6455,                 1.8462,                 1.8091,                0.60507,                 0.3999,                0.45638,                0.23605,                  1.706,                 1.7171,                 1.8543,               0.008944,               0.008944,               0.008944
                     34,                 1.6412,                  1.831,                 1.8043,                0.61551,                0.39972,                0.45273,                0.23335,                 1.6907,                 1.7354,                 1.8383,               0.008911,               0.008911,               0.008911
                     35,                 1.6216,                 1.8122,                 1.7892,                0.60897,                0.40637,                0.45955,                 0.2422,                 1.6811,                 1.7025,                 1.8478,               0.008878,               0.008878,               0.008878
                     36,                 1.6233,                  1.798,                 1.7801,                0.59851,                0.42104,                0.47652,                0.24961,                 1.6641,                 1.6745,                 1.8228,               0.008845,               0.008845,               0.008845
                     37,                  1.615,                 1.7824,                 1.7789,                0.61449,                0.42104,                0.47609,                0.25402,                 1.6687,                 1.6678,                 1.8102,               0.008812,               0.008812,               0.008812
                     38,                 1.5937,                 1.7845,                 1.7685,                0.61831,                0.40568,                0.46702,                0.25039,                 1.6619,                 1.6794,                  1.806,               0.008779,               0.008779,               0.008779
                     39,                 1.5864,                  1.762,                 1.7537,                0.61325,                0.41756,                0.47551,                0.25551,                 1.6435,                 1.6412,                  1.789,               0.008746,               0.008746,               0.008746
                     40,                  1.585,                 1.7571,                 1.7577,                0.62431,                0.41203,                0.47976,                0.25815,                 1.6319,                 1.6346,                 1.7843,               0.008713,               0.008713,               0.008713
                     41,                 1.5892,                  1.753,                 1.7556,                0.62551,                0.42651,                0.48932,                 0.2641,                 1.6127,                 1.6194,                 1.7589,                0.00868,                0.00868,                0.00868
                     42,                  1.583,                 1.7578,                 1.7562,                 0.6199,                0.43148,                 0.4909,                0.26813,                 1.6065,                 1.6153,                 1.7682,               0.008647,               0.008647,               0.008647
                     43,                  1.568,                 1.7272,                 1.7404,                0.63512,                0.42303,                0.49264,                0.27086,                 1.6138,                 1.5886,                  1.758,               0.008614,               0.008614,               0.008614
                     44,                 1.5563,                  1.713,                 1.7357,                0.62736,                0.42624,                0.48752,                0.26665,                 1.6259,                 1.6021,                 1.7731,               0.008581,               0.008581,               0.008581
                     45,                 1.5525,                 1.6949,                 1.7341,                0.61313,                0.44168,                0.49837,                0.27168,                 1.5883,                 1.5824,                 1.7518,               0.008548,               0.008548,               0.008548
                     46,                 1.5418,                   1.68,                 1.7219,                0.63416,                0.44094,                0.50428,                0.27987,                 1.5731,                 1.5633,                 1.7373,               0.008515,               0.008515,               0.008515
